Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,227.253,223.17,219.087,215.33,211.574,207.817,204.061,200.304,197.676,195.048,192.42,189.792,187.164,183.914,180.663,177.413,174.163,170.913,166.633,162.353,158.073,153.793,149.513,148.759,148.004,147.25,146.495,145.741,144.988,144.235,143.482,142.729,141.976,141.725,141.475,141.225,140.974,140.724,139.937,139.15,138.363,137.576,136.789,135.137,133.485,131.832,130.18,128.527,126.884,125.241,123.598,121.954,120.311,118.655,116.999,115.343,113.686,112.03,
Afghanistan,604.597,598.908,593.219,587.752,582.284,576.817,571.35,565.882,560.333,554.784,549.236,543.687,538.138,531.889,525.64,519.391,513.142,506.893,499.246,491.599,483.952,476.305,468.658,459.362,450.067,440.771,431.475,422.18,413.482,404.784,396.086,387.388,378.69,373.407,368.125,362.842,357.559,352.277,346.143,340.009,333.875,327.741,321.607,314.533,307.459,300.386,293.312,286.238,281.258,276.279,271.299,266.32,261.34,257.135,252.93,248.724,244.519,240.314,
Angola,561.897,558.226,554.556,549.975,545.395,540.814,536.234,531.653,526.909,522.165,517.421,512.676,507.932,503.498,499.065,494.631,490.197,485.763,484.378,482.993,481.607,480.222,478.837,477.686,476.535,475.385,474.234,473.083,471.936,470.789,469.641,468.494,467.347,461.699,456.052,450.405,444.757,439.11,428.812,418.515,408.217,397.919,387.622,376.772,365.922,355.073,344.223,333.373,324.524,315.675,306.825,297.976,289.127,285.989,282.85,279.712,276.573,273.435,
Albania,160.48,150.942,141.405,143.06,144.716,146.372,148.027,149.683,152.04,154.398,156.756,159.113,161.471,158.009,154.547,151.085,147.623,144.162,143.457,142.752,142.048,141.343,140.639,139.531,138.422,137.314,136.206,135.098,137.983,140.867,143.752,146.637,149.521,147.646,145.771,143.896,142.021,140.146,134.877,129.608,124.34,119.071,113.802,112.225,110.647,109.069,107.492,105.914,101.527,97.139,92.752,88.365,83.977,82.646,81.315,79.984,78.653,77.323,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,359.8451282,355.3071394,350.690278,345.8794916,341.0653623,336.2702541,331.5038114,326.7792253,322.2314584,317.6627073,313.0632712,308.3853368,303.6691256,299.0286486,294.5095115,290.1386025,286.0243293,282.0299892,280.8229774,279.4652651,277.9112438,275.9217465,273.7286801,266.754595,259.794124,252.8846312,246.0387922,239.2340982,235.7375506,232.3100198,228.6953812,225.3662849,223.348476,220.1491644,216.9944504,212.9256188,209.7922054,206.6696883,203.9408746,201.2399364,198.5532826,195.7037463,192.8666214,190.069925,187.2065595,184.2448422,181.007463,177.7006918,175.613608,173.699325,171.9394187,170.1459902,168.2400291,166.0192549,163.9274854,161.9640233,160.1429836,158.4296609,
United Arab Emirates,328.373,318.924,309.474,301.397,293.32,285.243,277.166,269.089,262.194,255.3,248.405,241.51,234.615,228.707,222.8,216.892,210.984,205.076,199.987,194.898,189.809,184.72,179.631,175.219,170.807,166.395,161.984,157.572,153.714,149.857,146,142.142,138.285,134.799,131.312,127.826,124.34,120.854,117.758,114.662,111.566,108.47,105.374,102.665,99.955,97.245,94.535,91.826,90.298,88.77,87.243,85.715,84.187,82.963,81.739,80.514,79.29,78.066,
Argentina,255.108,252.663,250.219,250.998,251.778,252.558,253.338,254.118,251.882,249.645,247.409,245.172,242.935,240.729,238.522,236.316,234.109,231.902,229.122,226.342,223.561,220.781,218,216.904,215.808,214.712,213.616,212.519,209.918,207.317,204.716,202.114,199.513,196.41,193.307,190.204,187.1,183.997,182.878,181.76,180.641,179.522,178.403,176.163,173.923,171.683,169.443,167.203,165.272,163.341,161.41,159.48,157.549,155.817,154.085,152.354,150.622,148.89,
Armenia,225.671,219.648,213.626,208.4,203.175,197.949,192.724,187.498,184.138,180.778,177.418,174.058,170.698,172.452,174.205,175.958,177.712,179.465,179.372,179.28,179.188,179.095,179.003,185.435,191.868,198.301,204.734,211.167,218.861,226.556,234.251,241.945,249.64,243.642,237.644,231.646,225.649,219.651,213.162,206.673,200.185,193.696,187.207,189.896,192.585,195.273,197.962,200.65,196.828,193.005,189.182,185.359,181.537,179.629,177.721,175.814,173.906,171.999,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,275.552,272.245,268.938,266.171,263.405,260.639,257.872,255.106,252.479,249.853,247.226,244.599,241.972,239.481,236.99,234.498,232.007,229.516,227.155,224.793,222.432,220.071,217.71,215.471,213.232,210.993,208.753,206.514,204.394,202.274,200.154,198.034,195.914,193.91,191.905,189.9,187.895,185.891,183.993,182.095,180.197,178.299,176.401,174.606,172.811,171.016,169.222,167.427,165.5,163.573,161.646,159.719,157.793,156.198,154.604,153.01,151.416,149.822,
Australia,200.01,198.798,203.46,202.327,209.646,207.713,206.009,206.32,209.072,206.545,208.409,197.846,194.619,192.443,196.525,189.266,185.176,177.915,174.401,169.626,165.1,160.649,157.021,148.861,145.955,142.205,136.857,136.15,132.616,130.174,123.906,118.763,116.61,112.772,112.33,108.979,107.832,104.411,103.662,101.033,97.967,93.793,90.81,89.042,86.332,85.447,82.945,84.729,81.993,81.777,78.634,78.261,75.571,75.212,76.486,,,,
Austria,215.261,205.943,206.366,201.301,199.678,202.51,201.344,202.645,202.833,202.337,206.206,206.123,207.079,197.25,200.106,201.688,198.837,200.279,200.568,200.223,196.728,195.045,194.788,193.926,190.093,181.016,175.215,167.866,161.972,160.44,155.102,157.686,152.976,149.83,145.837,145.169,140.538,135.068,131.611,125.913,126.568,122.892,120.026,115.817,114.612,111.759,105.344,104.253,99.617,103.061,100.315,94.356,91.335,89.369,85.621,84.688,80.37,79.032,
Azerbaijan,221.357,221.348,221.34,221.33,221.321,221.311,221.302,221.292,221.283,221.273,221.263,221.253,221.244,221.232,221.22,221.207,221.195,221.183,221.172,221.16,221.149,221.138,221.126,221.116,221.107,221.097,221.087,221.078,228.837,236.597,244.356,252.116,259.875,256.187,252.499,248.811,245.123,241.434,234.596,227.758,220.92,214.082,207.244,204.095,200.946,197.796,194.647,191.498,188.489,185.48,182.472,179.463,176.454,175.696,174.938,174.18,173.422,172.664,
Burundi,469.175,465.763,462.35,459.006,455.661,452.317,448.973,445.628,444.056,442.484,440.912,439.34,437.768,432.895,428.023,423.151,418.279,413.407,410.604,407.801,404.999,402.196,399.394,397.122,394.85,392.578,390.306,388.034,391.536,395.039,398.541,402.043,405.546,400.644,395.742,390.841,385.939,381.037,381.319,381.601,381.883,382.164,382.446,379.054,375.662,372.271,368.879,365.487,359.547,353.606,347.666,341.726,335.786,331.579,327.373,323.166,318.96,314.753,
Belgium,209.462,200.578,201.867,203.26,200.322,204.262,196.076,197.336,199.357,199.75,194.432,192.803,194.307,190.075,181.95,184.244,182.259,178.42,180.667,175.332,174.655,167.942,166.775,165.437,159.444,157.099,152.39,149.756,144.186,141.13,138.666,138.318,135.539,136.689,136.48,136.966,132.434,131.229,129.023,131.877,130.497,128.037,124.715,122.423,116.535,114.317,110.936,109.277,111.631,107.237,102.029,100.338,98.967,94.257,91.363,89.305,,,
Benin,473.237,469.18,465.122,461.133,457.143,453.154,449.164,445.175,442.137,439.099,436.061,433.023,429.986,427.169,424.352,421.535,418.718,415.901,413.308,410.716,408.123,405.531,402.938,391.017,379.096,367.175,355.255,343.334,333.244,323.154,313.065,302.975,292.885,298.047,303.209,308.371,313.533,318.695,317.305,315.915,314.525,313.135,311.746,306.42,301.095,295.77,290.445,285.12,283.036,280.953,278.869,276.786,274.702,271.907,269.111,266.315,263.52,260.724,
Burkina Faso,543.058,536.847,530.636,524.746,518.855,512.965,507.074,501.183,494.945,488.707,482.469,476.231,469.993,461.204,452.414,443.625,434.836,426.047,410.306,394.566,378.825,363.084,347.344,346.792,346.24,345.688,345.136,344.584,347.923,351.262,354.602,357.941,361.28,363.839,366.398,368.957,371.516,374.075,369.035,363.995,358.956,353.916,348.876,341.156,333.435,325.715,317.995,310.275,305.532,300.79,296.047,291.305,286.562,282.184,277.806,273.429,269.051,264.673,
Bangladesh,287.786,283.316,278.847,274.735,270.623,266.512,262.4,258.288,257.081,255.873,254.666,253.458,252.251,246.681,241.111,235.542,229.972,224.403,221.984,219.566,217.147,214.729,212.31,210.265,208.22,206.176,204.131,202.086,200.248,198.409,196.571,194.732,192.894,190.703,188.513,186.322,184.132,181.942,179.861,177.781,175.701,173.621,171.541,169.974,168.407,166.841,165.274,163.707,162.277,160.847,159.417,157.988,156.558,154.386,152.214,150.041,147.869,145.697,
Bulgaria,165.15,162.382,165.873,159.585,154.409,152.052,155.084,164.444,160.589,169.053,160.03,172.885,172.488,164.402,169.382,177.536,173.445,185.434,184.599,191.124,190.34,188.293,197.349,198.158,202.666,210.854,208.534,206.517,210.212,217.849,219.412,212.446,229.642,240.227,246.715,245.658,238.013,244.061,241.473,222.447,224.995,222.754,218.129,215.807,215.97,219.403,218.644,212.04,208.236,203.891,197.081,,,,,,,,
Bahrain,325.037,312.423,299.809,289.795,279.781,269.767,259.753,249.739,241.881,234.023,226.165,218.307,210.448,204.309,198.169,192.03,185.89,179.751,174.989,170.227,165.466,160.704,155.942,152.245,148.548,144.85,141.153,137.456,134.378,131.3,128.222,125.144,122.066,119.172,116.278,113.384,110.49,107.596,104.639,101.682,98.726,95.769,92.812,90.633,88.455,86.276,84.097,81.919,81.023,80.127,79.231,78.336,77.44,76.45,75.461,74.471,73.481,72.491,
"Bahamas, The",284.281,283.422,282.562,281.742,280.923,280.103,279.284,278.464,277.681,276.898,276.115,275.332,274.549,273.799,273.049,272.3,271.55,270.8,270.08,269.36,268.641,267.921,267.201,266.509,265.817,265.125,264.433,263.741,262.385,261.028,259.672,258.316,256.96,255.59,254.22,252.85,251.48,250.11,246.29,242.469,238.648,234.827,231.007,228.17,225.333,222.497,219.66,216.823,214.281,211.739,209.197,206.655,204.113,202.214,200.314,198.415,196.516,194.617,
Bosnia and Herzegovina,247.839,245.509,243.179,240.819,238.458,236.097,233.737,231.376,228.578,225.781,222.984,220.186,217.389,214.448,211.507,208.565,205.624,202.683,202.316,201.949,201.582,201.215,200.848,199.092,197.335,195.579,193.822,192.066,203.188,214.31,225.431,236.553,247.675,232.518,217.362,202.206,187.049,171.893,168.29,164.687,161.084,157.481,153.878,151.408,148.939,146.47,144.001,141.531,139.815,138.099,136.382,134.666,132.95,131.082,129.214,127.346,125.478,123.61,
Belarus,204.65,198.56,203.921,199.634,193.62,198.214,198.797,202.68,208.441,216.685,226.439,226.107,230.385,230.297,232.667,248.7,254.896,260.781,265.549,276.726,277.656,279.223,279.032,282.453,298.328,275.577,241.926,246.357,250.118,273.41,281.951,294.245,310.855,343.266,348.399,363.728,358.553,360.641,370.602,375.925,354.094,369.56,383.421,372.783,362.612,369.192,355.849,332.936,334.107,330.003,334.194,336.426,287.27,273.671,261.217,245.384,234.903,,
Belize,262.636,255.815,248.994,241.699,234.404,227.11,219.815,212.52,206.914,201.308,195.702,190.096,184.49,183.211,181.933,180.654,179.376,178.097,175.989,173.881,171.773,169.664,167.556,166.555,165.554,164.554,163.553,162.552,170.43,178.309,186.187,194.065,201.944,208.259,214.574,220.889,227.205,233.52,235.972,238.424,240.876,243.328,245.78,241.688,237.596,233.504,229.412,225.32,225.59,225.86,226.13,226.4,226.67,224.562,222.454,220.346,218.238,216.13,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,421.504,419.215,416.927,414.905,412.884,410.862,408.84,406.819,404.786,402.754,400.722,398.69,396.657,393.281,389.905,386.528,383.152,379.776,374.808,369.84,364.872,359.903,354.935,350.079,345.223,340.368,335.512,330.656,325.961,321.267,316.573,311.878,307.184,302.697,298.209,293.722,289.235,284.747,280.535,276.323,272.111,267.9,263.688,259.836,255.983,252.131,248.279,244.427,240.307,236.186,232.066,227.946,223.826,221.459,219.093,216.726,214.36,211.993,
